,Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume
57,AMGN,AMGEN Inc.,Healthcare,Drug Manufacturers - General,USA,161010000000.0,42.92,300.16,-0.018600000000000002,511093.0
58,AMH,American Homes 4 Rent,Real Estate,REIT - Residential,USA,13220000000.0,36.81,36.08,-0.0014000000000000002,170735.0
59,AMRX,Amneal Pharmaceuticals Inc,Healthcare,Drug Manufacturers - Specialty & Generic,USA,2109999999.9999998,,6.83,0.058899999999999994,919991.0
60,AMT,American Tower Corp.,Real Estate,REIT - Specialty,USA,87180000000.0,42.25,186.7,0.0040999999999999995,405953.0
61,AMX,America Movil S.A.B.DE C.V. ADR,Communication Services,Telecom Services,Mexico,60180000000.0,17.83,19.35,-0.0044,400339.0
62,AMZN,Amazon.com Inc.,Consumer Cyclical,Internet Retail,USA,1886920000000.0,50.92,181.32,0.0032,11890018.0
63,ANET,Arista Networks Inc,Technology,Computer Hardware,USA,97510000000.0,43.28,311.19,0.0151,697360.0
64,ANF,Abercrombie & Fitch Co.,Consumer Cyclical,Apparel Retail,USA,7830000000.0,24.64,153.29,0.0208,760004.0
65,AON,Aon plc.,Financial,Insurance Brokers,Ireland,60560000000.0,21.83,278.52,-0.0079,319437.0
66,APA,APA Corporation,Energy,Oil & Gas E&P,USA,11080000000.0,3.34,29.86,0.017,1268655.0
67,APD,Air Products & Chemicals Inc.,Basic Materials,Specialty Chemicals,USA,58890000000.0,23.96,264.89,0.0011,314513.0
68,APG,APi Group Corporation,Industrials,Engineering & Construction,USA,6250000000.0,,36.08,-0.0089,156414.0
69,APH,Amphenol Corp.,Technology,Electronic Components,USA,81610000000.0,41.53,135.88,-0.0026,1372348.0
70,APLE,Apple Hospitality REIT Inc,Real Estate,REIT - Hotel & Motel,USA,3500000000.0,16.91,14.44,-0.0017000000000000001,481660.0
71,APLS,Apellis Pharmaceuticals Inc,Healthcare,Biotechnology,USA,4880000000.0,,40.24,-0.0091,218757.0
72,APO,Apollo Global Management Inc,Financial,Asset Management,USA,92080000000.0,12.99,116.35,0.0072,847629.0
73,APP,Applovin Corp,Technology,Software - Application,USA,27990000000.0,50.4,85.07,0.0355,2669996.0
74,APTV,Aptiv PLC,Consumer Cyclical,Auto Parts,Ireland,22640000000.0,7.85,83.23,0.008199999999999999,504878.0
75,AQN,Algonquin Power & Utilities Corp,Utilities,Utilities - Renewable,Canada,4600000000.0,,6.45,-0.013000000000000001,2448868.0
76,AR,Antero Resources Corp,Energy,Oil & Gas E&P,USA,10550000000.0,167.89,33.95,0.02,511780.0
77,ARCC,Ares Capital Corp,Financial,Asset Management,USA,13160000000.0,7.31,21.41,0.0028000000000000004,1170504.0
78,ARCO,Arcos Dorados Holdings Inc,Consumer Cyclical,Restaurants,USA,2100000000.0,12.15,9.94,0.0005,212504.0
79,ARES,Ares Management Corp,Financial,Asset Management,USA,28540000000.0,64.36,146.6,0.004,189705.0
80,ARHS,Arhaus Inc,Consumer Cyclical,Home Improvement Retail,USA,2410000000.0,22.62,17.14,0.0202,189903.0
81,ARM,Arm Holdings plc. ADR,Technology,Semiconductors,United Kingdom,129110000000.00002,435.01,124.11,0.08259999999999999,8326106.0
82,ARMK,Aramark,Industrials,Specialty Business Services,USA,8480000000.0,13.56,32.25,0.0091,220869.0
83,AROC,Archrock Inc,Energy,Oil & Gas Equipment & Services,USA,3100000000.0,24.13,19.82,0.0015,426098.0
84,ARRY,Array Technologies Inc,Technology,Solar,USA,2069999999.9999998,36.54,13.63,0.0029,1680802.0
85,ARWR,Arrowhead Pharmaceuticals Inc.,Healthcare,Biotechnology,USA,2950000000.0,,23.75,-0.0454,190998.0
86,AS,Amer Sports Inc.,Consumer Cyclical,Leisure,Finland,7340000000.0,,14.99,0.0115,238686.0
87,ASAN,Asana Inc,Technology,Software - Application,USA,3230000000.0,,14.16,-0.0197,529410.0
88,ASB,Associated Banc-Corp.,Financial,Banks - Regional,USA,3200000000.0,21.7,21.24,-0.0002,92331.0
89,ASML,ASML Holding NV,Technology,Semiconductor Equipment & Materials,Netherlands,383280000000.0,49.8,974.23,0.018799999999999997,268152.0
90,ASO,Academy Sports and Outdoors Inc,Consumer Cyclical,Specialty Retail,USA,4080000000.0,8.23,55.33,0.0385,350359.0
91,ASPN,Aspen Aerogels Inc.,Industrials,Building Products & Equipment,USA,2240000000.0,,29.37,-0.01,700436.0
92,ASX,ASE Technology Holding Co.Ltd ADR,Technology,Semiconductors,Taiwan,24610000000.0,24.91,11.4,0.022000000000000002,1213109.0
93,ATI,ATI Inc,Industrials,Metal Fabrication,USA,7620000000.0,24.49,61.21,0.011200000000000002,189139.0
94,ATMU,Atmus Filtration Technologies Inc,Industrials,Pollution & Treatment Controls,USA,2500000000.0,15.22,29.97,-0.005600000000000001,140103.0
95,AU,AngloGold Ashanti Plc.,Basic Materials,Gold,United Kingdom,10420000000.0,,24.82,0.021400000000000002,347798.0
96,AUR,Aurora Innovation Inc,Technology,Information Technology Services,USA,3930000000.0,,2.53,0.0285,3551482.0
97,AVDX,AvidXchange Holdings Inc,Technology,Software - Infrastructure,USA,2220000000.0,,10.76,-0.0028000000000000004,173276.0
98,AVGO,Broadcom Inc,Technology,Semiconductors,USA,651310000000.0,52.1,1405.44,-0.0017000000000000001,730642.0
99,AVTR,Avantor Inc.,Basic Materials,Specialty Chemicals,USA,16200000000.0,62.32,23.84,-0.0123,809269.0
100,AWK,American Water Works Co. Inc.,Utilities,Utilities - Regulated Water,USA,24820000000.0,25.9,127.39,-0.006500000000000001,219361.0
101,AXP,American Express Co.,Financial,Credit Services,USA,170890000000.0,19.57,237.58,-0.0025,543681.0
102,AXTA,Axalta Coating Systems Ltd,Basic Materials,Specialty Chemicals,USA,7720000000.0,31.29,34.99,-0.0044,306285.0
103,AY,Atlantica Sustainable Infrastructure Plc,Utilities,Utilities - Renewable,United Kingdom,2570000000.0,54.41,22.1,-0.056100000000000004,10784028.0
104,AZEK,AZEK Company Inc,Industrials,Building Products & Equipment,USA,6990000000.0,60.29,47.9,0.0108,574442.0
105,AZN,Astrazeneca plc ADR,Healthcare,Drug Manufacturers - General,United Kingdom,238470000000.0,37.91,76.92,-0.0207,1077663.0
106,BA,Boeing Co.,Industrials,Aerospace & Defense,USA,107570000000.0,,175.23,0.0040999999999999995,2235464.0
107,BABA,Alibaba Group Holding Ltd ADR,Consumer Cyclical,Internet Retail,China,183020000000.0,18.44,80.36,-0.0111,7196518.0
108,BAC,Bank Of America Corp.,Financial,Banks - Diversified,USA,309260000000.0,13.66,39.54,-0.0039000000000000003,8496664.0
109,BALL,Ball Corp.,Consumer Cyclical,Packaging & Containers,USA,21180000000.0,,68.25,-0.0091,313972.0
110,BAM,Brookfield Asset Management Ltd,Financial,Asset Management,Canada,16660000000.0,36.92,40.2,-0.0005,186199.0
111,BANC,Banc of California Inc,Financial,Banks - Regional,USA,2340000000.0,,13.91,0.0138,167617.0
112,BAX,Baxter International Inc.,Healthcare,Medical Instruments & Supplies,USA,17280000000.0,,33.91,0.0003,686247.0
113,BBAR,BBVA Argentina ADR,Financial,Banks - Regional,Argentina,2060000000.0,4.86,10.1,0.0264,278250.0
114,BBD,Banco Bradesco S.A. ADR,Financial,Banks - Regional,Brazil,13340000000.0,10.18,2.52,0.0028000000000000004,1544409.0
115,BBIO,BridgeBio Pharma Inc,Healthcare,Biotechnology,USA,5190000000.0,,27.75,-0.0068000000000000005,700978.0
116,BBVA,Banco Bilbao Vizcaya Argentaria. ADR,Financial,Banks - Diversified,Spain,62890000000.0,7.05,10.8,-0.0051,449102.0
117,BBWI,Bath & Body Works Inc,Consumer Cyclical,Specialty Retail,USA,10870000000.0,12.61,48.62,0.006999999999999999,457981.0
118,BBY,Best Buy Co. Inc.,Consumer Cyclical,Specialty Retail,USA,15700000000.0,12.76,72.55,0.0147,981074.0
119,BCE,BCE Inc,Communication Services,Telecom Services,Canada,30660000000.0,23.57,33.61,0.0012,334260.0
120,BCS,Barclays plc ADR,Financial,Banks - Diversified,United Kingdom,42040000000.0,,11.27,0.0176,6025809.0
121,BDX,Becton Dickinson & Co.,Healthcare,Medical Instruments & Supplies,USA,65680000000.00001,50.01,227.24,-0.0068000000000000005,443789.0
122,BE,Bloom Energy Corp,Industrials,Electrical Equipment & Parts,USA,3870000000.0,,17.05,0.0463,3951068.0
123,BEKE,KE Holdings Inc ADR,Real Estate,Real Estate Services,China,19630000000.0,40.59,16.8,0.0084,5489763.0
124,BEN,"Franklin Resources, Inc.",Financial,Asset Management,USA,12240000000.0,13.35,23.27,-0.0026,342075.0
125,BEPC,Brookfield Renewable Corporation,Utilities,Utilities - Renewable,USA,12120000000.0,8.68,32.39,0.0006,255518.0
126,BERY,Berry Global Group Inc,Consumer Cyclical,Packaging & Containers,USA,6850000000.0,14.23,59.9,0.008100000000000001,134697.0
127,BF-B,Brown-Forman Corp.,Consumer Defensive,Beverages - Wineries & Distilleries,USA,21330000000.0,22.4,45.13,-0.0137,361163.0
128,BG,Bunge Global SA,Consumer Defensive,Farm Products,USA,14990000000.0,8.52,105.84,0.0199,394946.0
129,BGC,BGC Group Inc,Financial,Capital Markets,USA,4139999999.9999995,70.08,8.4,-0.030600000000000002,1720460.0
130,BHC,Bausch Health Companies Inc,Healthcare,Drug Manufacturers - Specialty & Generic,Canada,2340000000.0,,6.38,0.0024,537662.0
131,BHP,BHP Group Limited ADR,Basic Materials,Other Industrial Metals & Mining,Australia,151410000000.0,20.59,59.76,0.0022,500136.0
132,BHVN,Biohaven Ltd,Healthcare,Biotechnology,USA,3420000000.0,,38.69,0.0535,653390.0
133,BIDU,Baidu Inc ADR,Communication Services,Internet Content & Information,China,29170000000.0,13.18,99.88,-0.004,1117052.0
134,BIIB,Biogen Inc,Healthcare,Drug Manufacturers - General,USA,31610000000.0,27.11,217.07,-0.0034000000000000002,140808.0
135,BILI,Bilibili Inc ADR,Communication Services,Electronic Gaming & Multimedia,China,4440000000.0,,13.89,-0.0039000000000000003,1981998.0
136,BILL,BILL Holdings Inc,Technology,Software - Application,USA,5550000000.0,,52.33,0.0033,268902.0
137,BJ,BJ's Wholesale Club Holdings Inc,Consumer Defensive,Discount Stores,USA,11530000000.0,22.51,86.74,-0.0159,757816.0
138,BK,Bank Of New York Mellon Corp,Financial,Asset Management,USA,44010000000.0,14.33,58.85,-0.004,353313.0
139,BKR,Baker Hughes Co,Energy,Oil & Gas Equipment & Services,USA,32439999999.999996,18.05,32.51,0.0042,1098735.0
140,BL,BlackLine Inc,Technology,Software - Application,USA,3060000000.0,47.21,49.48,-0.0032,289727.0
141,BLDR,Builders Firstsource Inc,Industrials,Building Products & Equipment,USA,20460000000.0,14.35,167.62,-0.0204,353670.0
142,BMRN,Biomarin Pharmaceutical Inc.,Healthcare,Biotechnology,USA,14220000000.0,70.1,74.9,-0.008199999999999999,339559.0
143,BMY,Bristol-Myers Squibb Co.,Healthcare,Drug Manufacturers - General,USA,82920000000.0,,40.9,-0.008100000000000001,3954558.0
144,BN,Brookfield Corporation,Financial,Asset Management,Canada,72590000000.0,73.62,44.24,-0.0121,486094.0
145,BNL,Broadstone Net Lease Inc,Real Estate,REIT - Diversified,USA,2830000000.0,15.61,15.02,-0.005,237937.0
146,BNS,Bank Of Nova Scotia,Financial,Banks - Diversified,Canada,58560000000.0,10.57,47.92,0.0029,687627.0
147,BOX,Box Inc,Technology,Software - Infrastructure,USA,3670000000.0,37.34,25.23,-0.0016,590602.0
148,BP,BP plc ADR,Energy,Oil & Gas Integrated,United Kingdom,102940000000.0,11.75,37.32,0.0163,2729999.0
149,BRBR,Bellring Brands Inc,Consumer Defensive,Packaged Foods,USA,7510000000.0,40.05,57.6,-0.013000000000000001,145333.0
150,BRFS,BRF S.A. ADR,Consumer Defensive,Packaged Foods,Brazil,6310000000.0,,3.78,0.0134,827876.0
151,BRK-B,Berkshire Hathaway Inc.,Financial,Insurance - Diversified,USA,871220000000.0,11.92,403.92,-0.0086,855757.0
152,BRO,"Brown & Brown, Inc.",Financial,Insurance Brokers,USA,25060000000.0,27.07,87.87,-0.0167,215782.0
153,BROS,Dutch Bros Inc,Consumer Cyclical,Restaurants,USA,3380000000.0,193.15,35.52,0.0416,842547.0
154,BRX,Brixmor Property Group Inc,Real Estate,REIT - Retail,USA,6560000000.0,23.41,21.77,0.0011,247698.0
155,BSX,Boston Scientific Corp.,Healthcare,Medical Devices,USA,110370000000.0,62.72,75.07,-0.0074,1030104.0
156,BSY,Bentley Systems Inc,Technology,Software - Application,USA,15850000000.0,49.13,52.84,-0.0084,274599.0
157,BTE,Baytex Energy Corp,Energy,Oil & Gas E&P,Canada,2970000000.0,,3.62,0.0478,4321327.0
158,BTG,B2gold Corp,Basic Materials,Gold,Canada,3730000000.0,,2.86,0.0359,5115176.0
159,BTI,British American Tobacco Plc ADR,Consumer Defensive,Tobacco,United Kingdom,67959999999.99999,,30.56,-0.002,1259779.0
160,BTU,Peabody Energy Corp.,Energy,Thermal Coal,USA,2990000000.0,6.61,23.74,0.0087,436157.0
161,BUD,Anheuser-Busch InBev SA/NV ADR,Consumer Defensive,Beverages - Brewers,Belgium,112370000000.0,24.54,63.78,-0.0194,438889.0
162,BUR,Burford Capital Limited,Financial,Asset Management,United Kingdom,3120000000.0,9.93,14.27,0.0014000000000000002,491444.0
163,BURL,Burlington Stores Inc,Consumer Cyclical,Apparel Retail,USA,12830000000.0,38.22,200.87,0.0025,294134.0
164,BVN,Compania de Minas Buenaventura S.A. ADR,Basic Materials,Other Precious Metals & Mining,Peru,4580000000.0,271.73,18.07,0.011200000000000002,204044.0
165,BWA,BorgWarner Inc,Consumer Cyclical,Auto Parts,USA,8140000000.000001,13.51,35.73,0.0012,356302.0
166,BX,Blackstone Inc,Financial,Asset Management,USA,147380000000.0,42.99,121.9,-0.0141,750976.0
167,BXMT,Blackstone Mortgage Trust Inc,Real Estate,REIT - Mortgage,USA,3010000000.0,633.76,17.36,0.0014000000000000002,327798.0
168,BXP,"Boston Properties, Inc.",Real Estate,REIT - Office,USA,9320000000.0,48.6,59.36,0.0008,177036.0
169,BZ,Kanzhun Ltd ADR,Communication Services,Internet Content & Information,China,7700000000.0,52.73,21.36,0.0070999999999999995,1426367.0
170,C,Citigroup Inc,Financial,Banks - Diversified,USA,120550000000.0,18.67,63.2,-0.006,2234349.0
171,CADE,Cadence Bank,Financial,Banks - Regional,USA,5240000000.0,9.11,28.43,0.005699999999999999,176552.0
172,CAG,Conagra Brands Inc,Consumer Defensive,Packaged Foods,USA,14340000000.0,15.12,29.99,-0.0096,663509.0
173,CAH,"Cardinal Health, Inc.",Healthcare,Medical Distribution,USA,23070000000.0,41.99,94.72,-0.0173,452460.0
174,CARG,CarGurus Inc,Consumer Cyclical,Auto & Truck Dealerships,USA,2500000000.0,74.88,24.0,0.0031,160257.0
175,CARR,Carrier Global Corp,Industrials,Building Products & Equipment,USA,58620000000.0,45.25,65.06,-0.009000000000000001,623375.0
176,CART,Maplebear Inc.,Consumer Cyclical,Internet Retail,USA,8529999999.999999,,32.24,-0.004,754004.0
177,CAT,Caterpillar Inc.,Industrials,Farm & Heavy Construction Machinery,USA,170480000000.0,15.74,348.6,-0.0009,635460.0
178,CAVA,Cava Group Inc,Consumer Cyclical,Restaurants,USA,9690000000.0,727.03,84.99,0.0248,2568245.0
179,CB,Chubb Limited,Financial,Insurance - Property & Casualty,Switzerland,107280000000.0,11.73,264.2,-0.0021,232572.0
180,CBRE,CBRE Group Inc,Real Estate,Real Estate Services,USA,26900000000.0,27.35,87.68,0.0021,223608.0
181,CC,Chemours Company,Basic Materials,Specialty Chemicals,USA,3990000000.0,,26.82,0.009399999999999999,173624.0
182,CCCS,CCC Intelligent Solutions Holdings Inc,Technology,Software - Infrastructure,USA,7350000000.0,,11.97,-0.0013,549820.0
183,CCEP,Coca-Cola Europacific Partners Plc,Consumer Defensive,Beverages - Non-Alcoholic,United Kingdom,33200000000.000004,18.41,72.36,-0.009899999999999999,258803.0
184,CCI,Crown Castle Inc,Real Estate,REIT - Specialty,USA,42860000000.0,30.77,98.64,0.0053,479243.0
185,CCJ,Cameco Corp.,Energy,Uranium,Canada,23520000000.0,135.22,54.17,0.0223,1011006.0
186,CCK,"Crown Holdings, Inc.",Consumer Cyclical,Packaging & Containers,USA,10060000000.0,24.02,83.3,-0.0044,135923.0
187,CCL,Carnival Corp.,Consumer Cyclical,Travel Services,USA,19840000000.0,60.93,15.66,0.035,9762722.0
188,CDE,Coeur Mining Inc,Basic Materials,Gold,USA,2260000000.0,,5.65,0.038599999999999995,3108380.0
189,CDNS,"Cadence Design Systems, Inc.",Technology,Software - Application,USA,80630000000.0,77.2,296.29,0.0068000000000000005,440718.0
190,CEG,Constellation Energy Corporation,Utilities,Utilities - Renewable,USA,73110000000.0,30.96,231.91,0.005600000000000001,1220125.0
191,CELH,Celsius Holdings Inc,Consumer Defensive,Beverages - Non-Alcoholic,USA,18730000000.0,88.13,80.37,-0.1553,8081842.0
192,CERE,Cerevel Therapeutics Holdings Inc,Healthcare,Biotechnology,USA,7480000000.0,,41.08,-0.0062,228668.0
193,CF,CF Industries Holdings Inc,Basic Materials,Agricultural Inputs,USA,14410000000.0,13.09,78.85,0.0173,432320.0
194,CFG,Citizens Financial Group Inc,Financial,Banks - Regional,USA,16000000000.0,12.7,35.15,-0.0055000000000000005,760542.0
195,CFLT,Confluent Inc,Technology,Software - Infrastructure,USA,9610000000.0,,30.23,0.0027,394139.0
196,CG,Carlyle Group Inc,Financial,Asset Management,USA,15800000000.0,,43.89,-0.0148,374862.0
197,CGNX,Cognex Corp.,Technology,Scientific & Technical Instruments,USA,8160000000.0,82.71,47.55,-0.0025,250444.0
198,CHD,"Church & Dwight Co., Inc.",Consumer Defensive,Household & Personal Products,USA,25530000000.0,33.1,104.39,-0.0195,416586.0
199,CHK,Chesapeake Energy Corp.,Energy,Oil & Gas E&P,USA,11820000000.0,12.15,90.19,0.0053,216358.0
200,CHRW,"C.H. Robinson Worldwide, Inc.",Industrials,Integrated Freight & Logistics,USA,10070000000.0,33.97,86.02,-0.008100000000000001,281442.0
201,CHTR,Charter Communications Inc.,Communication Services,Telecom Services,USA,38990000000.0,8.76,270.73,-0.0027,181963.0
202,CHWY,Chewy Inc,Consumer Cyclical,Internet Retail,USA,7210000000.0,181.05,16.53,-0.0024,2293086.0
203,CHX,ChampionX Corp.,Energy,Oil & Gas Equipment & Services,USA,6340000000.0,18.07,33.26,0.018799999999999997,364025.0
204,CI,Cigna Group,Healthcare,Healthcare Plans,USA,95130000000.0,27.49,334.89,0.0069,270797.0
205,CIEN,CIENA Corp.,Technology,Communication Equipment,USA,7190000000.0,32.31,49.71,0.0075,143457.0
206,CIG,Cia Energetica DE Minas Gerais - Cemig ADR,Utilities,Utilities - Diversified,Brazil,3720000000.0,6.29,1.96,-0.0076,241318.0
207,CIVI,Civitas Resources Inc,Energy,Oil & Gas E&P,USA,7340000000.0,8.93,73.37,0.0203,199670.0
208,CL,Colgate-Palmolive Co.,Consumer Defensive,Household & Personal Products,USA,75400000000.0,29.11,91.91,-0.0149,969651.0
209,CLF,Cleveland-Cliffs Inc,Basic Materials,Steel,USA,8109999999.999999,22.74,17.07,0.0092,1879928.0
210,CLS,"Celestica, Inc.",Technology,Electronic Components,Canada,7220000000.0,22.6,60.77,0.0334,1171398.0
211,CLSK,Cleanspark Inc,Financial,Capital Markets,USA,4200000000.0,138.42,18.41,0.044199999999999996,17749028.0
212,CLVT,Clarivate Plc,Technology,Information Technology Services,United Kingdom,3950000000.0,,5.91,0.0128,921296.0
213,CLX,Clorox Co.,Consumer Defensive,Household & Personal Products,USA,16000000000.0,66.7,128.88,-0.0202,287007.0
214,CM,Canadian Imperial Bank Of Commerce,Financial,Banks - Diversified,Canada,45450000000.0,10.02,48.49,-0.0009,147975.0
215,CMA,"Comerica, Inc.",Financial,Banks - Regional,USA,6760000000.0,10.11,51.01,0.004699999999999999,247100.0
216,CMCSA,Comcast Corp,Communication Services,Telecom Services,USA,151640000000.0,10.26,38.65,0.0028000000000000004,4687378.0
217,CME,CME Group Inc,Financial,Financial Data & Stock Exchanges,USA,75600000000.0,23.92,209.96,-0.0231,316247.0
218,CMI,Cummins Inc.,Industrials,Specialty Industrial Machinery,USA,38700000000.0,20.82,282.95,-0.0069,170444.0
219,CMS,CMS Energy Corporation,Utilities,Utilities - Regulated Electric,USA,18330000000.0,18.8,61.38,-0.0008,262833.0
220,CNC,Centene Corp.,Healthcare,Healthcare Plans,USA,39440000000.0,14.68,73.9,-0.0097,940279.0
221,CNH,CNH Industrial NV,Industrials,Farm & Heavy Construction Machinery,United Kingdom,13470000000.0,6.24,10.71,0.0037,2128094.0
